key,score,feature_type
RETAINEDEARNINGS,-0.002157452,derive
INVESTRASSOCIATESTOTPLATEST,-0.002182331,pq
NETASSETPS,-0.002221107,psi
NPFROMOPERATINGTTM,-0.002241592,derive
OPERATINGNITOTP,-0.002329988,pq
STOA,-0.002399125,volume
ADMINIEXPENSERATE,-0.002515854,pq
ROE,-0.002524173,pq
ROIC,-0.002525433,pq
STOQ,-0.002659009,volume
ROECUTWEIGHTED,-0.002661171,pq
AD20,-0.002696169,trend
DIVIDENDPS,-0.002930176,psi
DIVIDENDCOVER,-0.00306456,psi
UNDIVIDEDPROFITPS,-0.003086532,psi
DEGM,-0.003112565,growth
INVESTRASSOCIATESTOTP,-0.003183743,pq
CASHDIVIDENDCOVER,-0.003259609,psi
ROAEBIT,-0.003272769,pq
NONCURRENTASSETSRATIO,-0.003338507,sc
ATR14,-0.003346771,obos
SURPLUSRESERVEFUNDPS,-0.003352953,psi
RETAINEDEARNINGSPS,-0.003537073,psi
OPERATINGEXPENSERATE,-0.003680269,pq
VOL240,-0.003789574,volume
ARTRATE,-0.00388082,oc
VOL20,-0.003912421,volume
OPERATINGNITOTPLATEST,-0.00396246,pq
SGRO,-0.004050913,vs
VOL60,-0.004250263,volume
SFY12P,-0.004564442,af
TOTALASSETSTRATE,-0.004594549,oc
NOCFTOINTERESTBEARDEBT,-0.00487427,sc
ROAEBITTTM,-0.005041148,pq
INTANGIBLEASSETRATIO,-0.005109303,sc
FCFE,-0.005121432,derive
VOL120,-0.005200164,volume
EMV14,-0.005317869,trend
ETOP,-0.005319891,pq
TANGIBLEATOINTEBEARDEBT,-0.005771535,sc
DDNCR,-0.005838938,obos
TSEPTOINTERESTBEARDEBT,-0.005936644,sc
FIXASSETRATIO,-0.00595605,sc
ROA,-0.006028264,pq
ROE5,-0.006283568,pq
TVMA20,-0.006385154,volume
MONEYFLOW20,-0.006401722,volume
CASHTOCURRENTLIABILITY,-0.006456246,cf
TEMA10,-0.006540105,ma
CURRENTRATIO,-0.006561075,sc
SUPERQUICKRATIO,-0.006619133,sc
FCFF,-0.006810743,derive
ARTDAYS,-0.006888275,oc
QUICKRATIO,-0.006955469,sc
FY12P,-0.007288459,af
EPIBS,-0.007288459,af
OPERCASHINTOCURRENTLIABILITY,-0.007426916,cf
CMRACNE5,-0.007483719,return
TSEPTOTOTALCAPITAL,-0.007561999,sc
ARC,-0.007584696,obos
MA10REGRESSCOEFF12,-0.007774333,trend
EQUITYTOASSET,-0.008109556,sc
CTOP,-0.008401176,cf
ROA5,-0.008525107,pq
CMRA,-0.008766384,obos
NOCFTOTLIABILITY,-0.008920897,sc
EMA5,-0.009425865,ma
MA120,-0.011310519,ma
RSTR504,-0.011658889,power
BOLLUP,-0.01184898,obos
EMA120,-0.012004953,ma
EMA10,-0.012670613,ma
MA60,-0.012896633,ma
EMA60,-0.012999228,ma
MA5,-0.01307928,ma
EMA12,-0.013124061,ma
BBI,-0.013223799,ma
EMA20,-0.013720813,ma
EMA26,-0.013736148,ma
DDNBT,-0.01436021,obos
MA20,-0.014479176,ma
MA10,-0.014816661,ma
LOSSVARIANCE120,-0.017289843,return
DEA,-0.017473587,trend
BOLLDOWN,-0.017531512,obos
AROONDOWN,-0.017925981,trend
SBM,-0.018048799,obos
LOSSVARIANCE20,-0.018786139,return
LOSSVARIANCE60,-0.023291124,return
ARBR,-0.041654886,power
ULCER10,-0.045040725,trend
CHANDESD,-0.04564934,obos
DOWNRVI,-0.071622117,obos
ULCER5,-0.096459854,trend
DIF,-0.101211065,trend
MINUSDI,-0.150954793,trend
MA10CLOSE,-0.352038038,ma
BBIC,-0.376100775,ma
